,Spearman
PSNR,0.3427749110384323
PSNR_norm,0.3427749110384323
SSIM,0.25722878585490916
MSSSIM,0.3269711322037169
IWSSIM,0.17909510534199033
VIF,0.5550006099253494
FSIM,-0.5229742661796536
GMSD,-0.4850046729947244
GMSD_norm,-0.4850046729947244
MSGMSD,-0.5167590583482404
MSGMSD_norm,-0.5167590583482404
HAARPSI,-0.07584045938915991
UQI,-0.10193916633443066
S3IM,0.13907026897631142
TV,-0.3810456215144918
BRISQUE,0.6693187992312409
BRISQUE_norm,0.6693187992312409
CLIP-IQA,-0.00556085458724885
