Feature,Coefficient,Intercept,R2_Score,Spearman
MSSSIM^2,7.2046676,-5.2268686,0.6214103098931845,0.7471137060868129
MSSSIM,5.5504594,-5.2268686,0.6214103098931845,0.7471137060868129
GMSD,-5.397337,-5.2268686,0.6214103098931845,0.7471137060868129
HAARPSI,4.343048,-5.2268686,0.6214103098931845,0.7471137060868129
SSIM GMSD,-3.7770197,-5.2268686,0.6214103098931845,0.7471137060868129
MSSSIM IWSSIM,3.6236155,-5.2268686,0.6214103098931845,0.7471137060868129
MSSSIM HAARPSI,3.3993883,-5.2268686,0.6214103098931845,0.7471137060868129
GMSD^2,-3.392779,-5.2268686,0.6214103098931845,0.7471137060868129
SSIM MSSSIM,3.2481904,-5.2268686,0.6214103098931845,0.7471137060868129
IWSSIM GMSD,-2.702618,-5.2268686,0.6214103098931845,0.7471137060868129
SSIM HAARPSI,2.455616,-5.2268686,0.6214103098931845,0.7471137060868129
SSIM VIF,-2.4516268,-5.2268686,0.6214103098931845,0.7471137060868129
IWSSIM HAARPSI,2.3933184,-5.2268686,0.6214103098931845,0.7471137060868129
IWSSIM^2,2.0524135,-5.2268686,0.6214103098931845,0.7471137060868129
MSSSIM GMSD,-1.851412,-5.2268686,0.6214103098931845,0.7471137060868129
SSIM,-1.7099671,-5.2268686,0.6214103098931845,0.7471137060868129
VIF^2,-1.5144671,-5.2268686,0.6214103098931845,0.7471137060868129
SSIM IWSSIM,1.5013375,-5.2268686,0.6214103098931845,0.7471137060868129
PSNR MSSSIM,-1.2458767,-5.2268686,0.6214103098931845,0.7471137060868129
GMSD HAARPSI,0.961702,-5.2268686,0.6214103098931845,0.7471137060868129
IWSSIM VIF,-0.9217601,-5.2268686,0.6214103098931845,0.7471137060868129
IWSSIM,0.8238184,-5.2268686,0.6214103098931845,0.7471137060868129
VIF HAARPSI,-0.8022375,-5.2268686,0.6214103098931845,0.7471137060868129
VIF,-0.70789057,-5.2268686,0.6214103098931845,0.7471137060868129
PSNR GMSD,0.6800195,-5.2268686,0.6214103098931845,0.7471137060868129
PSNR,0.5824818,-5.2268686,0.6214103098931845,0.7471137060868129
PSNR HAARPSI,-0.43923882,-5.2268686,0.6214103098931845,0.7471137060868129
PSNR IWSSIM,-0.40950903,-5.2268686,0.6214103098931845,0.7471137060868129
VIF GMSD,-0.24741898,-5.2268686,0.6214103098931845,0.7471137060868129
MSSSIM VIF,-0.22674279,-5.2268686,0.6214103098931845,0.7471137060868129
PSNR VIF,0.14018805,-5.2268686,0.6214103098931845,0.7471137060868129
SSIM^2,0.1263796,-5.2268686,0.6214103098931845,0.7471137060868129
HAARPSI^2,0.10328633,-5.2268686,0.6214103098931845,0.7471137060868129
PSNR^2,0.021040503,-5.2268686,0.6214103098931845,0.7471137060868129
PSNR SSIM,-0.016672207,-5.2268686,0.6214103098931845,0.7471137060868129
