dataset,configuration,ground_truth,wavelength,image_path,PSNR,SSIM,MSSSIM,IWSSIM,VIF,FSIM,GMSD,MSGMSD,HAARPSI,UQI,S3IM,TV,BRISQUE,CLIP-IQA
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_393.png,27.848427,0.63097346,0.8036017,0.72018504,0.09816259,,0.15647583,0.14460468,0.4673785,,,39.850945,78.173035,0.9296614
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_394.png,29.164795,0.70377266,0.8426306,0.76955646,0.11411711,,0.124840505,0.11935932,0.50432473,,,36.27917,76.41327,0.87420744
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_395.png,29.954239,0.7284512,0.8574764,0.7856028,0.122838795,,0.11819447,0.11249928,0.5287053,,,32.59827,70.914734,0.8997998
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_396.png,29.967396,0.5762297,0.8591139,0.78182983,0.12651686,,0.08180849,0.08203639,0.6271457,,,31.97804,68.29071,0.80171937
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_397.png,30.117214,0.7377472,0.87774783,0.8023466,0.10952988,,0.09119459,0.0888086,0.6054626,,,32.7593,78.21649,0.846758
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_398.png,30.132044,0.7456721,0.86644655,0.79917794,0.12115701,,0.11342295,0.10671832,0.55439836,,,32.872433,72.862976,0.8679894
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_399.png,30.3788,0.76942426,0.8809558,0.8305454,0.13688564,,0.09956795,0.09636322,0.5894598,,,32.219322,58.030945,0.9007173
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_400.png,29.098167,0.7497956,0.8722611,0.82048595,0.11321055,,0.09477181,0.09283015,0.60214794,,,39.747894,81.78436,0.8396346
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_401.png,29.09763,0.72699493,0.8567338,0.8000569,0.12275696,,0.11835911,0.11350462,0.54410684,,,38.189144,63.39325,0.9157337
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_402.png,30.383343,0.7782533,0.8832206,0.83372545,0.13860087,,0.1027015,0.09802815,0.59376967,,,33.000942,56.14032,0.82793355
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_403.png,30.233633,0.5053642,0.84680116,0.76699257,0.14298856,,0.08247902,0.08348504,0.61762315,,,29.58272,65.056335,0.84622175
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_404.png,28.145521,0.6582303,0.82006514,0.75346404,0.109090045,,0.13917586,0.13173726,0.48976037,,,40.205044,66.89618,0.9055852
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_405.png,28.349493,0.6795237,0.8309603,0.7685258,0.114054605,,0.13307834,0.12648743,0.50295514,,,40.11944,62.459167,0.8849604
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_406.png,29.73012,0.7330777,0.8639011,0.82001406,0.13276754,,0.11316539,0.1094076,0.5627353,,,33.6915,51.81366,0.8859069
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_407.png,28.485516,0.7095415,0.85241646,0.8022122,0.10870744,,0.115515135,0.11071939,0.55259717,,,38.119713,60.570496,0.883867
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_408.png,29.930773,0.72833174,0.85981274,0.8023972,0.13202563,,0.11955851,0.11372901,0.54329324,,,31.161787,40.99823,0.8678491
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_409.png,29.912273,0.76571906,0.8834563,0.831671,0.12218533,,0.090653114,0.08895565,0.6172317,,,34.701485,72.49432,0.8418195
phantom,BP_phantom_128,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_128_slice_410.png,31.237286,0.7785321,0.88401604,0.82015294,0.14057273,,0.10223184,0.097071394,0.5811028,,,28.258202,65.84735,0.83737063
