dataset,configuration,ground_truth,wavelength,image_path,PSNR,SSIM,MSSSIM,IWSSIM,VIF,FSIM,GMSD,MSGMSD,HAARPSI,UQI,S3IM,TV,BRISQUE,CLIP-IQA,PSNR_norm,GMSD_norm,MSGMSD_norm,BRISQUE_norm
phantom,BP_phantom_GT,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_GT_slice_114.png,80.0,0.99999994,1.0,0.99964195,1.0,1.0,0.0,0.0,1.0000002,1.0,1.0,12.470672,31.621277,0.525756,1.0,0.0,0.0,0.22708489
phantom,BP_phantom_GT,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_GT_slice_115.png,80.0,0.99999994,1.0,0.9998423,1.0,1.0,0.0,0.0,1.0000002,1.0,1.0,13.496195,38.03241,0.5759465,1.0,0.0,0.0,0.35268515
phantom,BP_phantom_GT,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_GT_slice_116.png,80.0,0.99999994,1.0,1.0,1.0,1.0,0.0,0.0,1.0000002,1.0,1.0,15.598484,43.278503,0.5284165,1.0,0.0,0.0,0.45546117
phantom,BP_phantom_GT,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_GT_slice_117.png,80.0,0.99999994,1.0,1.0,1.0,1.0,0.0,0.0,1.0000002,1.0,1.0,14.436442,43.065613,0.6675188,1.0,0.0,0.0,0.45129043
phantom,BP_phantom_GT,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_GT_slice_118.png,80.0,0.99999994,1.0,0.99989647,1.0,1.0,0.0,0.0,0.9999964,1.0,1.0,13.461142,37.652527,0.66521114,1.0,0.0,0.0,0.3452429
phantom,BP_phantom_GT,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_GT_slice_119.png,80.0,0.99999994,1.0,0.9999906,1.0,1.0,0.0,0.0,0.99999845,1.0,1.0,14.484317,42.64276,0.626255,1.0,0.0,0.0,0.44300637
phantom,BP_phantom_GT,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_GT_slice_120.png,80.0,0.99999994,1.0,0.9998576,1.0,1.0,0.0,0.0,1.0000024,1.0,1.0,13.78327,39.299988,0.66422415,1.0,0.0,0.0,0.37751824
phantom,BP_phantom_GT,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_GT_slice_121.png,80.0,0.99999994,1.0,0.9998199,1.0,1.0,0.0,0.0,1.0000024,1.0,1.0,11.08174,30.187195,0.56065345,1.0,0.0,0.0,0.19898984
phantom,BP_phantom_GT,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_GT_slice_122.png,80.0,0.99999994,1.0,0.9999859,1.0,1.0,0.0,0.0,1.0000002,1.0,1.0,13.673994,39.01581,0.6973165,1.0,0.0,0.0,0.37195086
phantom,BP_phantom_GT,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_GT_slice_123.png,80.0,0.99999994,1.0,0.99999297,1.0,1.0,0.0,0.0,0.99999845,1.0,1.0,15.160372,43.843933,0.6212683,1.0,0.0,0.0,0.4665385
phantom,BP_phantom_GT,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_GT_slice_124.png,80.0,0.99999994,1.0,0.9999929,1.0,1.0,0.0,0.0,1.0000002,1.0,1.0,14.441311,40.269226,0.7111101,1.0,0.0,0.0,0.39650655
phantom,BP_phantom_GT,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_GT_slice_125.png,80.0,0.99999994,1.0,0.99999875,1.0,1.0,0.0,0.0,1.0000024,1.0,1.0,13.646626,37.16913,0.659147,1.0,0.0,0.0,0.33577263
phantom,BP_phantom_GT,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_GT_slice_126.png,80.0,0.99999994,1.0,0.9998376,1.0,1.0,0.0,0.0,1.0000002,1.0,1.0,15.136531,49.936707,0.6751173,1.0,0.0,0.0,0.5859018
phantom,BP_phantom_GT,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_GT_slice_127.png,80.0,0.99999994,1.0,0.9999953,1.0,1.0,0.0,0.0,1.0000024,1.0,1.0,20.386812,54.32831,0.6857056,1.0,0.0,0.0,0.67193747
phantom,BP_phantom_GT,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_GT_slice_128.png,80.0,0.99999994,1.0,1.0,1.0,1.0,0.0,0.0,1.0000024,1.0,1.0,18.177742,56.86493,0.7064557,1.0,0.0,0.0,0.7216323
phantom,BP_phantom_GT,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_GT_slice_129.png,80.0,0.99999994,1.0,0.9999129,1.0,1.0,0.0,0.0,1.0000024,1.0,1.0,14.983519,49.53778,0.59424776,1.0,0.0,0.0,0.57808644
phantom,BP_phantom_GT,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_GT_slice_130.png,80.0,0.99999994,1.0,0.9999706,1.0,1.0,0.0,0.0,1.0000024,1.0,1.0,13.64739,43.592957,0.62511855,1.0,0.0,0.0,0.4616216
phantom,BP_phantom_GT,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_GT_slice_131.png,80.0,0.99999994,1.0,0.9999647,1.0,1.0,0.0,0.0,1.0000024,1.0,1.0,13.906926,39.536804,0.73931456,1.0,0.0,0.0,0.38215768
phantom,BP_phantom_GT,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_GT_slice_132.png,80.0,0.99999994,1.0,0.99998116,1.0,1.0,0.0,0.0,0.99999845,1.0,1.0,14.908087,42.825867,0.76910025,1.0,0.0,0.0,0.44659358
phantom,BP_phantom_GT,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_GT_slice_133.png,80.0,0.99999994,1.0,0.99992937,1.0,1.0,0.0,0.0,1.0000002,1.0,1.0,11.977563,39.982605,0.5963774,1.0,0.0,0.0,0.39089134
phantom,BP_phantom_GT,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_GT_slice_134.png,80.0,0.99999994,1.0,0.9996466,1.0,1.0,0.0,0.0,1.0000002,1.0,1.0,12.697734,38.644226,0.67141455,1.0,0.0,0.0,0.36467123
phantom,BP_phantom_GT,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_GT_slice_135.png,80.0,0.99999994,1.0,0.99997765,1.0,1.0,0.0,0.0,1.0000002,1.0,1.0,14.280728,48.44696,0.72327054,1.0,0.0,0.0,0.5567162
phantom,BP_phantom_GT,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_GT_slice_136.png,80.0,0.99999994,1.0,0.99998,1.0,1.0,0.0,0.0,1.0000002,1.0,1.0,12.196234,37.25409,0.6202005,1.0,0.0,0.0,0.3374371
phantom,BP_phantom_GT,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_GT_slice_137.png,80.0,0.99999994,1.0,0.9999647,1.0,1.0,0.0,0.0,1.0000002,1.0,1.0,10.956756,29.314148,0.47383174,1.0,0.0,0.0,0.18188602
phantom,BP_phantom_GT,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_GT_slice_138.png,80.0,0.99999994,1.0,0.99995637,1.0,1.0,0.0,0.0,1.0000002,1.0,1.0,10.435426,33.615417,0.5114042,1.0,0.0,0.0,0.26615202
phantom,BP_phantom_GT,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_GT_slice_139.png,80.0,0.99999994,1.0,0.99991286,1.0,1.0,0.0,0.0,1.0000002,1.0,1.0,12.682406,35.817566,0.5928441,1.0,0.0,0.0,0.30929422
phantom,BP_phantom_GT,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_GT_slice_140.png,80.0,0.99999994,1.0,0.99987054,1.0,1.0,0.0,0.0,1.0000043,1.0,1.0,13.534293,39.37079,0.6825144,1.0,0.0,0.0,0.37890527
phantom,BP_phantom_GT,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_GT_slice_141.png,80.0,0.99999994,1.0,0.9999988,1.0,1.0,0.0,0.0,1.0000043,1.0,1.0,12.156255,32.354675,0.55963457,1.0,0.0,0.0,0.24145287
phantom,BP_phantom_GT,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_GT_slice_142.png,80.0,0.99999994,1.0,0.9999977,1.0,1.0,0.0,0.0,1.0000024,1.0,1.0,13.133503,42.23944,0.6490272,1.0,0.0,0.0,0.43510494
phantom,BP_phantom_GT,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_GT_slice_143.png,80.0,0.99999994,1.0,0.9999129,1.0,1.0,0.0,0.0,0.99999845,1.0,1.0,11.7682905,27.624207,0.6227486,1.0,0.0,0.0,0.14877844
phantom,BP_phantom_GT,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_GT_slice_144.png,80.0,0.99999994,1.0,0.99999297,1.0,1.0,0.0,0.0,1.0000002,1.0,1.0,16.36517,46.846863,0.5328985,1.0,0.0,0.0,0.52536875
phantom,BP_phantom_GT,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_GT_slice_145.png,80.0,0.99999994,1.0,1.0,1.0,1.0,0.0,0.0,1.0000002,1.0,1.0,12.170627,34.147644,0.5966301,1.0,0.0,0.0,0.27657884
phantom,BP_phantom_GT,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_GT_slice_146.png,80.0,0.99999994,1.0,0.9999988,1.0,1.0,0.0,0.0,1.0000002,1.0,1.0,16.052782,43.568542,0.5530626,1.0,0.0,0.0,0.4611433
phantom,BP_phantom_GT,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_GT_slice_147.png,80.0,0.99999994,1.0,0.9999906,1.0,1.0,0.0,0.0,0.99999845,1.0,1.0,14.034897,30.566101,0.66439253,1.0,0.0,0.0,0.20641299
phantom,BP_phantom_GT,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_GT_slice_148.png,80.0,0.99999994,1.0,1.0,1.0,1.0,0.0,0.0,1.0000002,1.0,1.0,14.951689,44.496277,0.7269741,1.0,0.0,0.0,0.47931853
phantom,BP_phantom_GT,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_GT_slice_149.png,80.0,0.99999994,1.0,0.9999682,1.0,1.0,0.0,0.0,1.0000002,1.0,1.0,12.856393,37.828796,0.6524246,1.0,0.0,0.0,0.34869617
phantom,BP_phantom_GT,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_GT_slice_150.png,80.0,0.99999994,1.0,0.9999576,1.0,1.0,0.0,0.0,1.0000002,1.0,1.0,13.985094,42.575867,0.6621749,1.0,0.0,0.0,0.44169584
phantom,BP_phantom_GT,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_GT_slice_151.png,80.0,0.99999994,1.0,0.99997646,1.0,1.0,0.0,0.0,0.9999964,1.0,1.0,15.302764,47.45038,0.57402986,1.0,0.0,0.0,0.5371922
phantom,BP_phantom_GT,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_GT_slice_152.png,80.0,0.99999994,1.0,0.9999906,1.0,1.0,0.0,0.0,0.99999845,1.0,1.0,14.71721,45.423035,0.689577,1.0,0.0,0.0,0.4974746
phantom,BP_phantom_GT,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_GT_slice_153.png,80.0,0.99999994,1.0,0.9999706,1.0,1.0,0.0,0.0,0.99999845,1.0,1.0,15.589813,49.89569,0.65024585,1.0,0.0,0.0,0.58509827
phantom,BP_phantom_GT,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_GT_slice_154.png,80.0,0.99999994,1.0,0.99998116,1.0,1.0,0.0,0.0,0.99999845,1.0,1.0,12.66103,35.773132,0.54347193,1.0,0.0,0.0,0.30842373
phantom,BP_phantom_GT,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_GT_slice_155.png,80.0,0.99999994,1.0,0.9999929,1.0,1.0,0.0,0.0,1.0000002,1.0,1.0,13.725872,40.8537,0.6976701,1.0,0.0,0.0,0.40795693
phantom,BP_phantom_GT,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_GT_slice_156.png,80.0,0.99999994,1.0,0.9999412,1.0,1.0,0.0,0.0,0.99999845,1.0,1.0,12.975345,38.470886,0.5184005,1.0,0.0,0.0,0.36127532
phantom,BP_phantom_GT,BP_phantom_GT,---,results/phantom/images_used/BP_phantom_GT_slice_157.png,80.0,0.99999994,1.0,0.99999875,1.0,1.0,0.0,0.0,1.0000002,1.0,1.0,13.045775,37.192078,0.5997942,1.0,0.0,0.0,0.33622223
