dropout,learning_rate,fc_units,avg_val_loss
0.0,0.0001,128,0.011810885244156714
0.0,5e-05,128,0.015403615595632242
0.5,0.0001,128,0.019748509398187675
0.5,5e-05,128,0.026004651035140682
0.7,5e-05,128,0.02799699391189524
0.7,0.0001,128,0.03148034317698259
0.3,0.0001,128,0.04189070694604616
0.3,5e-05,128,0.12744598028782858
