Feature,Coefficient,Intercept,R2_Score,Spearman
VIF GMSD,-0.205849,1.955086,0.7819049550699014,0.8728396251912466
IWSSIM VIF,0.12851083,1.955086,0.7819049550699014,0.8728396251912466
VIF,0.096448824,1.955086,0.7819049550699014,0.8728396251912466
PSNR GMSD,-0.06408721,1.955086,0.7819049550699014,0.8728396251912466
VIF HAARPSI,0.044216122,1.955086,0.7819049550699014,0.8728396251912466
PSNR SSIM,0.041245203,1.955086,0.7819049550699014,0.8728396251912466
MSSSIM VIF,-0.030632788,1.955086,0.7819049550699014,0.8728396251912466
PSNR,-0.02947828,1.955086,0.7819049550699014,0.8728396251912466
PSNR IWSSIM,0.026854776,1.955086,0.7819049550699014,0.8728396251912466
SSIM VIF,0.012750796,1.955086,0.7819049550699014,0.8728396251912466
PSNR HAARPSI,0.0076271715,1.955086,0.7819049550699014,0.8728396251912466
PSNR MSSSIM,0.0075140465,1.955086,0.7819049550699014,0.8728396251912466
PSNR VIF,-0.0036957695,1.955086,0.7819049550699014,0.8728396251912466
PSNR^2,0.0027822147,1.955086,0.7819049550699014,0.8728396251912466
GMSD,-0.0027392167,1.955086,0.7819049550699014,0.8728396251912466
MSSSIM GMSD,-0.0018994997,1.955086,0.7819049550699014,0.8728396251912466
SSIM,0.0015580631,1.955086,0.7819049550699014,0.8728396251912466
MSSSIM,-0.0015359294,1.955086,0.7819049550699014,0.8728396251912466
IWSSIM,0.0014450937,1.955086,0.7819049550699014,0.8728396251912466
GMSD^2,-0.0009595143,1.955086,0.7819049550699014,0.8728396251912466
SSIM^2,0.0007512061,1.955086,0.7819049550699014,0.8728396251912466
SSIM IWSSIM,0.0007149603,1.955086,0.7819049550699014,0.8728396251912466
SSIM GMSD,-0.0007080638,1.955086,0.7819049550699014,0.8728396251912466
MSSSIM IWSSIM,0.0006931515,1.955086,0.7819049550699014,0.8728396251912466
SSIM HAARPSI,0.0006236818,1.955086,0.7819049550699014,0.8728396251912466
SSIM MSSSIM,0.0006176342,1.955086,0.7819049550699014,0.8728396251912466
HAARPSI,0.00048778582,1.955086,0.7819049550699014,0.8728396251912466
MSSSIM^2,0.00038994098,1.955086,0.7819049550699014,0.8728396251912466
GMSD HAARPSI,-0.0002936342,1.955086,0.7819049550699014,0.8728396251912466
MSSSIM HAARPSI,0.00028057105,1.955086,0.7819049550699014,0.8728396251912466
IWSSIM^2,0.00028038782,1.955086,0.7819049550699014,0.8728396251912466
IWSSIM HAARPSI,0.00019371223,1.955086,0.7819049550699014,0.8728396251912466
HAARPSI^2,7.937782e-05,1.955086,0.7819049550699014,0.8728396251912466
VIF^2,4.35605e-05,1.955086,0.7819049550699014,0.8728396251912466
IWSSIM GMSD,-6.84218e-06,1.955086,0.7819049550699014,0.8728396251912466
