,Spearman
PSNR,0.5613165444125552
PSNR_norm,0.5613165444125552
SSIM,0.44743544516453904
MSSSIM,0.5068223560735716
IWSSIM,0.6317833687721551
VIF,0.29349742800305056
FSIM,-0.4879780156348844
GMSD,-0.7339117896140666
GMSD_norm,-0.7339117896140666
MSGMSD,-0.7310868349281059
MSGMSD_norm,-0.7310868349281059
HAARPSI,0.7195752807470841
UQI,0.3764109146561
S3IM,0.34696221447382086
TV,-0.5745042807361306
BRISQUE,0.6757959337540771
BRISQUE_norm,0.6757959337540771
CLIP-IQA,-0.054567149692738105
