dataset,configuration,ground_truth,wavelength,image_path,PSNR,SSIM,MSSSIM,IWSSIM,VIF,FSIM,GMSD,MSGMSD,HAARPSI,UQI,S3IM,TV,BRISQUE,CLIP-IQA
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_199.png,31.305506,0.78689057,0.89451426,0.88964415,0.37590134,,0.13220729,0.11800532,0.66920274,,,22.833565,37.215027,0.2494485
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_200.png,36.72865,0.8950063,0.95088404,0.94168395,0.48512828,,0.07572494,0.06695258,0.7943008,,,12.116028,36.962585,0.4229992
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_201.png,41.061634,0.9487144,0.9764855,0.96872646,0.5854603,,0.036704045,0.032393888,0.89257795,,,7.2051196,33.74237,0.43333828
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_202.png,35.438087,0.8673076,0.93637866,0.9255664,0.43532145,,0.088749066,0.07821194,0.755293,,,13.88174,36.482605,0.42753956
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_203.png,34.191727,0.8457322,0.92526627,0.91487294,0.40568617,,0.101940855,0.08979675,0.7252049,,,15.990709,39.55072,0.3085592
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_204.png,32.837357,0.8115897,0.9077552,0.8984477,0.37592998,,0.12215094,0.10785383,0.6884337,,,18.303244,36.510437,0.3166418
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_205.png,33.09405,0.82405716,0.9137393,0.9039164,0.4101574,,0.119919196,0.105833516,0.6944733,,,18.062637,36.78607,0.2905995
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_206.png,33.29297,0.83079153,0.91812366,0.90840745,0.41067013,,0.11812348,0.10414424,0.70049816,,,17.902203,34.393738,0.2815794
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_207.png,29.777054,0.7588501,0.87727314,0.87336314,0.33707196,,0.14687835,0.13153334,0.61507416,,,26.67319,35.695007,0.25404656
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_208.png,30.90506,0.7907199,0.8942638,0.887145,0.34411559,,0.12859184,0.11488189,0.65102744,,,22.643024,35.276306,0.27092135
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_209.png,36.78562,0.8975143,0.9518878,0.9423326,0.45465282,,0.06693821,0.05945378,0.79171646,,,12.203035,36.665222,0.3684416
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_210.png,41.44153,0.9539691,0.9789921,0.9712209,0.59538066,,0.03642078,0.031841423,0.88773847,,,7.1236305,29.35907,0.2599056
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_211.png,37.60722,0.9106256,0.95838356,0.94973963,0.50609255,,0.0658304,0.057886716,0.80524945,,,11.216574,35.526062,0.2804574
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_212.png,36.389812,0.8902272,0.9482705,0.93881804,0.46765,,0.08186838,0.07190089,0.76811236,,,12.7253895,34.963562,0.34334
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_213.png,35.179394,0.8636694,0.93410677,0.92082185,0.4324227,,0.09241533,0.08111917,0.7299713,,,14.165182,36.33319,0.26753932
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_214.png,36.671375,0.8901856,0.9480332,0.93731827,0.45229477,,0.074588485,0.06568233,0.77310306,,,12.075628,35.01581,0.39057255
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_215.png,33.35259,0.8314869,0.91732985,0.9079724,0.3931856,,0.10825616,0.09628903,0.694028,,,18.022545,36.970154,0.2615283
mice,sparse256_recon_all,full_recon_all,---,results/mice/images_used/sparse256_recon_all_slice_216.png,32.378315,0.81621194,0.90866727,0.8988101,0.36075604,,0.114369325,0.10185455,0.6788427,,,20.270376,35.406677,0.23903765
