Metric,Dataset,Config1,Config2,Mean1,Mean2,Var1,Var2,N1,N2,P-Value
PSNR,denoising,10db,20db,29.60581889732494,32.09900422639654,7.381386633562822,6.976416616386256,5084,5084,0.0
IWSSIM,phantom,BP_phantom_16,BP_phantom_64,0.36165961083155646,0.6672227894029851,0.0020064983292800015,0.0020385535697574307,469,469,0.0
IWSSIM,phantom,BP_phantom_16,BP_phantom_128,0.36165961083155646,0.8640858268017058,0.0020064983292800015,0.0007076015469023415,469,469,0.0
IWSSIM,phantom,BP_phantom_32,BP_phantom_64,0.4455845708315565,0.6672227894029851,0.002266489727025802,0.0020385535697574307,469,469,0.0
IWSSIM,phantom,BP_phantom_32,BP_phantom_128,0.4455845708315565,0.8640858268017058,0.002266489727025802,0.0007076015469023415,469,469,0.0
IWSSIM,phantom,BP_phantom_64,BP_phantom_128,0.6672227894029851,0.8640858268017058,0.0020385535697574307,0.0007076015469023415,469,469,0.0
CLIP-IQA,phantom,BP_phantom_8,BP_phantom_64,0.7163483312366739,0.9039550601066099,0.002572360000184003,0.0009111652401044232,469,469,0.0
CLIP-IQA,phantom,BP_phantom_8,BP_phantom_32,0.7163483312366739,0.9080030119616204,0.002572360000184003,0.0005914115010779039,469,469,0.0
VIF,denoising,10db,20db,0.04975286743662667,0.232513657134048,0.0003048450739361209,0.0036917910577104343,5084,5084,0.0
VIF,denoising,10db,30db,0.04975286743662667,0.38183600136428014,0.0003048450739361209,0.008638494679444005,5084,5084,0.0
VIF,denoising,10db,40db,0.04975286743662667,0.4209245369016522,0.0003048450739361209,0.011580418832225114,5084,5084,0.0
VIF,denoising,10db,50db,0.04975286743662667,0.43014276495259635,0.0003048450739361209,0.012447270967236858,5084,5084,0.0
VIF,denoising,20db,30db,0.232513657134048,0.38183600136428014,0.0036917910577104343,0.008638494679444005,5084,5084,0.0
VIF,denoising,20db,50db,0.232513657134048,0.43014276495259635,0.0036917910577104343,0.012447270967236858,5084,5084,0.0
CLIP-IQA,denoising,30db,50db,0.05669867891276553,0.09687486003147128,0.0017989226706597431,0.0019515854127537882,5084,5084,0.0
CLIP-IQA,denoising,20db,30db,0.14240247860778915,0.05669867891276553,0.007848096248002168,0.0017989226706597431,5084,5084,0.0
CLIP-IQA,denoising,10db,50db,0.3623175857589496,0.09687486003147128,0.019561256992942835,0.0019515854127537882,5084,5084,0.0
CLIP-IQA,denoising,10db,40db,0.3623175857589496,0.0892770750751377,0.019561256992942835,0.0019188224169291435,5084,5084,0.0
FSIM,denoising,10db,20db,0.5154701204741758,0.7048984023846117,0.0022249763486100966,0.0034018652974272608,5084,5084,0.0
BRISQUE,denoising,10db,20db,78.2615121270653,66.20335626258851,192.46791510622145,265.58123626406706,5084,5084,0.0
BRISQUE,denoising,10db,30db,78.2615121270653,94.67632990833988,192.46791510622145,156.5823942661092,5084,5084,0.0
BRISQUE,denoising,10db,40db,78.2615121270653,100.99071151376869,192.46791510622145,30.357993224601113,5084,5084,0.0
BRISQUE,denoising,10db,50db,78.2615121270653,100.94611702773408,192.46791510622145,30.246390438844696,5084,5084,0.0
BRISQUE,denoising,20db,30db,66.20335626258851,94.67632990833988,265.58123626406706,156.5823942661092,5084,5084,0.0
IWSSIM,phantom,BP_phantom_8,BP_phantom_128,0.34508486562899787,0.8640858268017058,0.0018791557704323982,0.0007076015469023415,469,469,0.0
BRISQUE,denoising,20db,40db,66.20335626258851,100.99071151376869,265.58123626406706,30.357993224601113,5084,5084,0.0
VIF,phantom,BP_phantom_32,BP_phantom_128,0.05743325797441364,0.1588245976226013,9.030914465275885e-05,0.00041326098354406546,469,469,0.0
VIF,phantom,BP_phantom_16,BP_phantom_128,0.042600221366737745,0.1588245976226013,5.31473997901608e-05,0.00041326098354406546,469,469,0.0
VIF,phantom,BP_phantom_8,BP_phantom_128,0.031472729319829425,0.1588245976226013,2.7033187539859012e-05,0.00041326098354406546,469,469,0.0
VIF,phantom,BP_phantom_8,BP_phantom_64,0.031472729319829425,0.09267357176972281,2.7033187539859012e-05,0.00018948039253787567,469,469,0.0
CLIP-IQA,denoising,10db,20db,0.3623175857589496,0.14240247860778915,0.019561256992942835,0.007848096248002168,5084,5084,0.0
CLIP-IQA,denoising,10db,30db,0.3623175857589496,0.05669867891276553,0.019561256992942835,0.0017989226706597431,5084,5084,0.0
BRISQUE,denoising,20db,50db,66.20335626258851,100.94611702773408,265.58123626406706,30.246390438844696,5084,5084,0.0
FSIM,denoising,10db,30db,0.5154701204741758,0.8379747435202531,0.0022249763486100966,0.002552075175734061,5084,5084,0.0
IWSSIM,phantom,BP_phantom_8,BP_phantom_64,0.34508486562899787,0.6672227894029851,0.0018791557704323982,0.0020385535697574307,469,469,0.0
PSNR_norm,denoising,10db,30db,0.37007273639063726,0.4127538689653816,0.0011533416769997208,0.0013053186212339872,5084,5084,0.0
GMSD_norm,phantom,BP_phantom_32,BP_phantom_128,0.5237724161620468,0.24819410377398718,0.0018027015482227667,0.0017541059374906885,469,469,0.0
GMSD_norm,phantom,BP_phantom_16,BP_phantom_128,0.5887690694243071,0.24819410377398718,0.001952416371689429,0.0017541059374906885,469,469,0.0
GMSD_norm,phantom,BP_phantom_8,BP_phantom_128,0.6385311881876332,0.24819410377398718,0.0020188332444499232,0.0017541059374906885,469,469,0.0
GMSD_norm,phantom,BP_phantom_8,BP_phantom_64,0.6385311881876332,0.41669526119402983,0.0020188332444499232,0.0021198915988930693,469,469,0.0
MSSSIM,denoising,10db,20db,0.7989519981549961,0.8876663407651455,0.007279386557170962,0.0025536610347458156,5084,5084,0.0
MSSSIM,denoising,10db,30db,0.7989519981549961,0.8996911132671125,0.007279386557170962,0.0025397344814932377,5084,5084,0.0
MSSSIM,denoising,10db,40db,0.7989519981549961,0.8984705466148702,0.007279386557170962,0.0025978129916775614,5084,5084,0.0
MSSSIM,denoising,10db,50db,0.7989519981549961,0.8987880187057434,0.007279386557170962,0.0025849104714940146,5084,5084,0.0
GMSD_norm,denoising,10db,50db,0.42798082955448463,0.3394891282582613,0.006472704559879086,0.007613453623157265,5084,5084,0.0
GMSD_norm,denoising,10db,40db,0.42798082955448463,0.3398941601394571,0.006472704559879086,0.007612826448041828,5084,5084,0.0
GMSD_norm,denoising,10db,30db,0.42798082955448463,0.3397603640615657,0.006472704559879086,0.007569125277960294,5084,5084,0.0
GMSD_norm,denoising,10db,20db,0.42798082955448463,0.3498943071994492,0.006472704559879086,0.007090600067921463,5084,5084,0.0
MSSSIM,phantom,BP_phantom_8,BP_phantom_128,0.6404102495309169,0.9038631601705757,0.002403425567066378,0.00037052125047280933,469,469,0.0
MSSSIM,phantom,BP_phantom_16,BP_phantom_64,0.6429563985287845,0.8045159962046909,0.0019885856935707735,0.000871382099828271,469,469,0.0
MSSSIM,phantom,BP_phantom_16,BP_phantom_128,0.6429563985287845,0.9038631601705757,0.0019885856935707735,0.00037052125047280933,469,469,0.0
MSSSIM,phantom,BP_phantom_32,BP_phantom_128,0.6984361257356076,0.9038631601705757,0.0015197139634564015,0.00037052125047280933,469,469,0.0
PSNR_norm,phantom,BP_phantom_16,BP_phantom_128,0.22000383558635397,0.37894043019189766,0.0012507189101783986,0.0007291739296991746,469,469,0.0
PSNR_norm,denoising,10db,40db,0.37007273639063726,0.41337932918174664,0.0011533416769997208,0.0013284093097472684,5084,5084,0.0
PSNR_norm,denoising,10db,50db,0.37007273639063726,0.41364480836939416,0.0011533416769997208,0.0013347457758137902,5084,5084,0.0
IWSSIM,mice,sparse16_recon_all,sparse256_recon_all,0.3287301204379562,0.9282778853284672,0.002053334971740081,0.00045865961455709606,274,274,0.0
IWSSIM,mice,sparse16_recon_all,sparse128_recon_all,0.3287301204379562,0.7749749450364963,0.002053334971740081,0.002371636225846392,274,274,0.0
IWSSIM,mice,sparse8_recon_all,sparse256_recon_all,0.2697494637591241,0.9282778853284672,0.001901623250564456,0.00045865961455709606,274,274,0.0
IWSSIM,mice,sparse8_recon_all,sparse128_recon_all,0.2697494637591241,0.7749749450364963,0.001901623250564456,0.002371636225846392,274,274,0.0
PSNR_norm,denoising,10db,20db,0.37007273639063726,0.4012375527832415,0.0011533416769997208,0.001090065106317687,5084,5084,0.0
IWSSIM,mice,sparse4_recon_all,sparse256_recon_all,0.24242624671532845,0.9282778853284672,0.0026801348807654743,0.00045865961455709606,274,274,0.0
IWSSIM,denoising,10db,50db,0.4698961906845004,0.6760173992643589,0.0043788377013315736,0.006027379920136704,5084,5084,0.0
