dataset,configuration,ground_truth,wavelength,image_path,PSNR,SSIM,MSSSIM,IWSSIM,VIF,FSIM,GMSD,MSGMSD,HAARPSI,UQI,S3IM,TV,BRISQUE,CLIP-IQA,PSNR_norm,GMSD_norm,MSGMSD_norm,BRISQUE_norm
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_18.png",18.259842,0.8642669,0.8365691,0.69853634,0.21926595,0.7577379143658415,0.119855024,0.12615249,0.5071841,0.8325801876113982,0.858874665182916,9.575704,68.54144,0.13135429,0.22824803,0.34244293,0.36043566,0.8303483
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_19.png",16.599499,0.83835584,0.9253014,0.830968,0.25422746,0.7830775353304328,0.11111498,0.11218708,0.5498181,0.7828107847740096,0.8340884433797671,8.893324,56.789246,0.19839656,0.20749374,0.31747139,0.32053453,0.4644155
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_20.png",15.765718,0.8577131,0.8215508,0.6776916,0.16710795,0.6894891618282508,0.14250217,0.15008637,0.47732878,0.8803418026461773,0.8495231038073952,6.9855285,53.11615,0.20021982,0.19707148,0.40714908,0.42881823,0.35004485
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_21.png",19.157635,0.8916875,0.9136744,0.785023,0.24206015,0.7945457394170065,0.12786084,0.13187581,0.5397152,0.8975568820215665,0.8844393541800355,7.873537,60.055115,0.22618634,0.23947044,0.3653167,0.37678805,0.56610614
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_22.png",14.16801,0.8401422,0.8907561,0.7721445,0.21637186,0.7124841759911716,0.10894011,0.11325346,0.5578299,0.797769301999843,0.8328567323508556,7.504821,50.17804,0.22425696,0.17710012,0.31125745,0.3235813,0.25855973
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_23.png",16.208254,0.81882143,0.88163257,0.76338136,0.23571555,0.7367133685620604,0.12295271,0.12680802,0.48390418,0.7787499916383291,0.8124826372996575,9.039864,42.94281,0.18142715,0.20260318,0.35129344,0.36230862,0.033273533
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_24.png",15.650135,0.87615067,0.9049316,0.7609186,0.19142112,0.7069599230795377,0.11984828,0.12543255,0.53439915,0.8636434830819688,0.868115294620188,6.089847,47.08197,0.22402231,0.19562669,0.34242368,0.3583787,0.16215621
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_25.png",15.736785,0.83980364,0.8632021,0.7071659,0.14831872,0.6898837746895848,0.14319992,0.1487333,0.43010795,0.8662098939812475,0.8303753579968304,7.873257,47.81903,0.20496716,0.19670981,0.40914264,0.4249523,0.18510635
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_26.png",13.044982,0.7797998,0.9225694,0.82574534,0.30725858,0.8036006164812955,0.0981086,0.10359194,0.63116956,0.6598738152548372,0.7770131848525317,7.6314287,61.16913,0.18461818,0.16306227,0.28031027,0.29597697,0.60079366
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_27.png",16.36504,0.8895932,0.9047552,0.74456644,0.19395956,0.7314728349145517,0.12788679,0.13327062,0.5370093,0.9019772875808194,0.8815522482328908,6.891225,53.6911,0.3323796,0.20456299,0.36539084,0.38077322,0.36794734
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_28.png",17.214144,0.85055524,0.87490916,0.7194888,0.19632651,0.7072627814906202,0.131258,0.13475707,0.48214826,0.8426581895723123,0.843140932895579,7.511236,57.035583,0.16092864,0.21517679,0.37502286,0.38502023,0.4720858
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_29.png",16.572828,0.860597,0.8850046,0.6975349,0.18585216,0.7038649618687212,0.12920484,0.13404275,0.48901713,0.8606987986782094,0.8529654433149135,7.3415675,54.692566,0.22253427,0.20716035,0.3691567,0.3829793,0.39913034
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_30.png",13.018444,0.8220608,0.8379835,0.67564285,0.21211223,0.7732134896877009,0.13115025,0.13537706,0.54589385,0.7755737387590388,0.8140438447369873,7.1692147,53.102234,0.19722618,0.16273054,0.374715,0.38679162,0.34961155
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_31.png",11.907841,0.6272073,0.87637186,0.7635267,0.20607397,0.7017380421493061,0.13514249,0.1442417,0.49922538,0.4614552232625507,0.6244938221711154,8.029366,51.024597,0.27376586,0.14884801,0.38612142,0.41211918,0.28491935
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_32.png",15.213165,0.8103225,0.91530293,0.79540783,0.2557157,0.7298610117834843,0.12235752,0.1252831,0.5794348,0.7420485563586007,0.8044566687066479,7.6846185,45.173523,0.1973328,0.19016457,0.34959292,0.35795173,0.10273212
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_33.png",16.040792,0.8228336,0.88783026,0.7575487,0.19660403,0.7023424071649885,0.12575644,0.13270772,0.49151847,0.7867014489057393,0.8165492540252715,7.7662272,47.402527,0.20500742,0.2005099,0.35930413,0.3791649,0.1721375
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_34.png",15.383506,0.8542317,0.8604542,0.7497955,0.21702765,0.7730507810624178,0.12819117,0.13265716,0.52125835,0.8642425679938216,0.8493564219527573,8.927209,42.827576,0.2736544,0.19229382,0.3662605,0.37902045,0.029685434
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_35.png",16.807508,0.87332165,0.8981528,0.74109524,0.17852409,0.7028761063663524,0.12650184,0.1338219,0.505903,0.8942874604449128,0.8649800697677565,6.7476187,49.748596,0.20688091,0.21009386,0.36143383,0.3823483,0.245188
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_36.png",15.117323,0.8453845,0.8436978,0.69088805,0.20826359,0.7564385034976875,0.13937517,0.14478908,0.4932902,0.843849279355002,0.83956073966884,7.872901,58.652283,0.29022652,0.18896654,0.39821476,0.41368312,0.5224256
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_37.png",16.672644,0.83738035,0.8765295,0.76105297,0.2315595,0.7304910885056681,0.12090809,0.1268396,0.52231026,0.8102999108940663,0.8302737400914977,8.336446,52.17108,0.22342935,0.20840804,0.34545168,0.36239883,0.32061788
SCD,"vc,lv128_BP",vc_BP,---,"results/SCD/images_used/vc,lv128_BP_slice_38.png",14.809797,0.7482902,0.86178,0.6932109,0.19746183,0.7219774109748737,0.12633613,0.13341628,0.4749328,0.6495198855015252,0.7419949090889343,7.498196,60.032776,0.19706166,0.18512246,0.36096036,0.38118938,0.56541055
